ISO 3166-1 Alpha 3-Codes,Country name,Country category,COD-PS URL
MTQ,Martinique,Preparedness,https://data.humdata.org/dataset/martinique-administrative-level-0-2-sadd-population-statistics
MUS,Mauritius,Preparedness,https://data.humdata.org/dataset/mauritius-subnational-population-statistics
MWI,Malawi,Preparedness,https://data.humdata.org/dataset/malawi-administrative-level-0-3-population-statistics
MYS,Malaysia,Preparedness,https://data.humdata.org/dataset/malaysia-administrative-level-0-4-sadd-population-statistics-tables
NAM,Namibia,Preparedness,https://data.humdata.org/dataset/namibia-administrative-level-0-2-population-statisticsx
NER,Niger,Operational,https://data.humdata.org/dataset/niger-administrative-level-0-3-population-statistics
NGA,Nigeria,Operational,https://data.humdata.org/dataset/nigeria-2016-population-data
NIC,Nicaragua,Preparedness,https://data.humdata.org/dataset/nicaragua-subnational-population-statistics
NPL,Nepal,Preparedness,https://data.humdata.org/dataset/nepal-population-statistics-census-2011
NRU,Nauru,Preparedness,
OMN,Oman,Preparedness,
PAK,Pakistan,Preparedness,https://data.humdata.org/dataset/pakistan-administrative-level-0-3-population-statistics
PAN,Panama,Preparedness,https://data.humdata.org/dataset/panama-subnational-population-statistics
PER,Peru,Preparedness,https://data.humdata.org/dataset/proyeccion-de-poblacion-por-distrito-y-edad-de-peru
PHL,Philippines,Preparedness,https://data.humdata.org/dataset/phl_psx
PNG,Papua New Guinea,Preparedness,https://data.humdata.org/dataset/papua-new-guinea-administrative-level-0-1-2-and-3-population-statistics
PRI,Puerto Rico,Preparedness,https://data.humdata.org/dataset/puerto-rico-administrative-level-0-1-sadd-population-statistics
PRK,Democratic People's Republic of Korea,Preparedness,https://data.humdata.org/dataset/dpr-korea-administrative-level-0-2-population-statistics
PRY,Paraguay,Preparedness,https://data.humdata.org/dataset/paraguay-subnational-population-statistics
PSE,State of Palestine,Operational,https://data.humdata.org/dataset/stateofpalestine_population_projection_1997-2021
QAT,Qatar,Preparedness,
RWA,Rwanda,Preparedness,https://data.humdata.org/dataset/rwanda-population-statistics
SAU,Saudi Arabia,Preparedness,
SDN,Sudan,Operational,
SEN,Senegal,Preparedness,https://data.humdata.org/dataset/senegal-population-statistics
SLB,Solomon Islands,Preparedness,https://data.humdata.org/dataset/solomon-islands-administrative-level-0-1-2-and-3-population-statistics
SLE,Sierra Leone,Preparedness,https://data.humdata.org/dataset/sierra-leone-population
SLV,El Salvador,Operational,https://data.humdata.org/dataset/censo-de-poblacion-y-vivienda-el-salvador-2007
SOM,Somalia,Operational,https://data.humdata.org/dataset/somalia-population-data
SSD,South Sudan,Operational,https://data.humdata.org/dataset/south-sudan-administrative-levels-0-2-2020-population-estimates
STP,Sao Tome and Principe,Preparedness,https://data.humdata.org/dataset/sao-tome-and-principe-administrative-level-0-1-population-statistics
SUR,Suriname,Preparedness,https://data.humdata.org/dataset/suriname-administrative-level-0-2-sex-and-age-disaggregated-population-statistics
SWZ,Kingdom of Eswatini,Preparedness,https://data.humdata.org/dataset/kingdom-of-eswatini-subnational-population-statistics
SXM,Sint Maarten (Dutch part),Preparedness,https://data.humdata.org/dataset/sint-maarten-administrative-level-0-2-population-statistics
SYC,Seychelles,Preparedness,https://data.humdata.org/dataset/seychelles-subnational-population-statistics
SYR,Syrian Arab Republic,Operational,
TCA,Turks and Caicos Islands,Preparedness,https://data.humdata.org/dataset/turks-and-caicos-administrative-levels-0-1-population-statistics
TCD,Chad,Operational,https://data.humdata.org/dataset/population-statistics-of-chad
TGO,Togo,Preparedness,https://data.humdata.org/dataset/togo-administrative-level-0-2-population-statistics
THA,Thailand,Preparedness,https://data.humdata.org/dataset/thailand-administrative-levels-0-1-population-statistics
TJK,Tajikistan,Preparedness,https://data.humdata.org/dataset/tajikistan-population-statistics
TKL,Tokelau,Preparedness,
TLS,Timor-Leste,Preparedness,https://data.humdata.org/dataset/2015-census-population-for-timor-leste
TON,Tonga,Preparedness,https://data.humdata.org/dataset/tonga-administrative-level-0-1-2-and-3-population-statistics
TTO,Trinidad and Tobago,Preparedness,https://data.humdata.org/dataset/trinidad-and-tobago-administrative-levels-0-1-population-statistics
TUN,Tunisia,Preparedness,https://data.humdata.org/dataset/tunisia-population-statistics-0
TUR,Turkey,Operational,https://data.humdata.org/dataset/turkey-subnational-population-statistics
TZA,United Republic of Tanzania,Preparedness,https://data.humdata.org/dataset/tanzania-administrative-levels-0-3-population-statistics
UGA,Uganda,Preparedness,https://data.humdata.org/dataset/uganda-administrative-level-population-statistics
UKR,Ukraine,Operational,https://data.humdata.org/dataset/cod-ps-ukr
URY,Uruguay,Preparedness,https://data.humdata.org/dataset/uruguay-subnational-population-statistics
UZB,Uzbekistan,Preparedness,https://data.humdata.org/dataset/uzbekistan-administrative-level-0-1-population-statistics-and-level-0-2-gazetteer
VCT,Saint Vincent and The Grenadines,Preparedness,https://data.humdata.org/dataset/saint-vincent-and-the-grenadines-subnational-population-statistics
VEN,Venezuela (Bolivarian Republic of),Operational,https://data.humdata.org/dataset/venezuela-administrative-level-0-1-2-and-3-population-statistics-and-gazeteer
VGB,British Virgin Islands,Preparedness,https://data.humdata.org/dataset/british-virgin-islands-administrative-level-0-1-population-statistics
VIR,United States Virgin Islands,Preparedness,https://data.humdata.org/dataset/united-states-virgin-islands-administrative-level-0-2-disaggregated-population-statistics
VNM,Viet Nam,Preparedness,https://data.humdata.org/dataset/viet-nam-administrative-level-0-2-2009-population-statistics
VUT,Vanuatu,Preparedness,https://data.humdata.org/dataset/vanuatu-administrative-level-0-1-and-2-population-statistics
YEM,Yemen,Operational,
ZAF,South Africa,Preparedness,https://data.humdata.org/dataset/south-africa-administrative-levels-0-3-population-statistics
ZMB,Zambia,Preparedness,https://data.humdata.org/dataset/zambia-subnational-population-statistics
ZWE,Zimbabwe,Preparedness,https://data.humdata.org/dataset/zimbabwe-administrative-levels-0-2-population-statistics
